"1446035755.362","roberta25s","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035755.461","Danka_Bogott","Bliss Molecules and Love Hormones Propel Our Social Networks: Neuroscientists from University of California, I... https://t.co/eFSkn8lMJv"
"1446035757.595","jforsythe23","#DunkCity â€œ@TheFix: Guy in front of me has a Florida Gulf Coast University sticker on his car. Oh yeah, this day is starting off great.â€"
"1446035761.594","heyyouapp","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035766.882","Eoin_SC","RT @kie_ehrenborg: Students at Peking university must complete 30 sessions of physical exercise/semester to get their academic credits. @exâ€¦"
"1446035770.288","Anglo_Paraguay","Dear World... Yours, Cambridge: the campaign for the University and Colleges of Cambridge https://t.co/xn1aJYGRF2"
"1446035772.962","Santana783022","After his graduation from Whittier in 1934, Nixon received a #full scholarship to attend Duke University School of Law."
"1446035773.991","Krista899025","Hammer Museum to expand as UCLA acquires Occidental Petroleum property #HammerMuseumAt... https://t.co/JoSZe8HcQQ https://t.co/Vns3lXfqCQ"
"1446035781.234","factmaysurprise","At Hong Kong Polytechnic University, it's possible to receive a Bachelor Degree in Bra Studies."
"1446035782.554","lungdiseasenews","COPD Affects 1.1 Million California Residents, UCLA ReportÂ Reveals https://t.co/hs5dL0I8iM"
"1446035782.703","DB_Tp3","RT @JoshJae: Congrats big fella..close to home too..(Chicago)  https://t.co/lanvEBDfEN"
"1446035783.088","Ruth13L","Annenberg Institute for School Reform at Brown University (where I work!) is hiring a research associate. Please... https://t.co/4nAWYKqhVH"
"1446035783.698","irenegorde","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035783.842","m33lina","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035784.125","Joweeezy","RT @jorgeramosnews: I'll see you tonight at 6 pm at the University of Chicago to talk about the election, immigration and journalism (Instiâ€¦"
"1446035784.24","2Nachim","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035784.268","n1l0a","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035784.295","TrishaTrishtish","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035784.356","krystinsurf","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035784.418","debrathoma","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035784.467","sacoox","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035784.995","eleparal","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035785.034","lee2ah","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035785.06","sass1h","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035785.089","senkyosakki","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035785.116","giustssa","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035785.145","kayadfi","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035785.165","c0ur1ney1","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035785.194","subaki5","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035785.233","t1kat1ka","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035785.356","sl1lm","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035785.598","peggyarnol","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035785.754","m1l1r","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035785.808","RampageNate","ICYMI - RWtH Live: Opening Night, New Digs, and Rookies Galore https://t.co/mWURsKSk0O"
"1446035785.844","L85Vega","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035785.877","p8mes","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035786.057","amyrightside","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035786.088","mckenziesweety","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035786.36","lydiavanborg","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035786.462","sofiawanderl","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035786.871","marac00per","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035786.919","wamysweet","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035786.983","anaukmaria","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
"1446035787.199","ayamiri2","RT @patelroow: Photo: UCLA Center for Buddhist Studies Podcasts - UCLA Center for Buddhist Studies | Religion â€¦: UCLA... https://t.co/J8E3Iâ€¦"
